x: 8, y: 14, C: 0
x: 8, y: 12, C: 1
x: 9, y: 13, C: 1
x: 7, y: 13, C: 0
x: 8, y: 15, C: 1
x: 8, y: 13, C: P
x: 9, y: 14, C: 0
x: 7, y: 14, C: 0
x: 7, y: 14, C: 0
x: 7, y: 12, C: 0
x: 8, y: 13, C: P
x: 6, y: 13, C: 0
x: 9, y: 15, C: 0
x: 9, y: 13, C: 1
x: 10, y: 14, C: 1
x: 8, y: 14, C: 0
x: 7, y: 15, C: 1
x: 7, y: 13, C: 0
x: 8, y: 14, C: 0
x: 6, y: 14, C: 0
x: 7, y: 13, C: 0
x: 7, y: 11, C: 0
x: 8, y: 12, C: 1
x: 6, y: 12, C: 1
x: 6, y: 14, C: 0
x: 6, y: 12, C: 1
x: 7, y: 13, C: 0
x: 5, y: 13, C: 1
x: 9, y: 16, C: 0
x: 9, y: 14, C: 0
x: 10, y: 15, C: 0
x: 8, y: 15, C: 1
x: 6, y: 15, C: 1
x: 6, y: 13, C: 0
x: 7, y: 14, C: 0
x: 5, y: 14, C: 0
x: 7, y: 12, C: 0
x: 7, y: 10, C: 0
x: 8, y: 11, C: 0
x: 6, y: 11, C: 0
x: 9, y: 17, C: 1
x: 9, y: 15, C: 0
x: 10, y: 16, C: 0
x: 8, y: 16, C: 1
x: 10, y: 16, C: 0
x: 10, y: 14, C: 1
x: 11, y: 15, C: 0
x: 9, y: 15, C: 0
x: 5, y: 15, C: 1
x: 5, y: 13, C: 1
x: 6, y: 14, C: 0
x: 4, y: 14, C: 1
x: 7, y: 11, C: 0
x: 7, y: 9, C: 1
x: 8, y: 10, C: 1
x: 6, y: 10, C: 1
x: 8, y: 12, C: 1
x: 8, y: 10, C: 1
x: 9, y: 11, C: 1
x: 7, y: 11, C: 0
x: 6, y: 12, C: 1
x: 6, y: 10, C: 1
x: 7, y: 11, C: 0
x: 5, y: 11, C: 1
x: 10, y: 17, C: 1
x: 10, y: 15, C: 0
x: 11, y: 16, C: 0
x: 9, y: 16, C: 0
x: 11, y: 16, C: 0
x: 11, y: 14, C: 0
x: 12, y: 15, C: 1
x: 10, y: 15, C: 0
x: 11, y: 17, C: 0
x: 11, y: 15, C: 0
x: 12, y: 16, C: 0
x: 10, y: 16, C: 0
x: 11, y: 15, C: 0
x: 11, y: 13, C: 1
x: 12, y: 14, C: 1
x: 10, y: 14, C: 1
x: 11, y: 18, C: 0
x: 11, y: 16, C: 0
x: 12, y: 17, C: 0
x: 10, y: 17, C: 1
x: 12, y: 17, C: 0
x: 12, y: 15, C: 1
x: 13, y: 16, C: 1
x: 11, y: 16, C: 0
x: 11, y: 19, C: 0
x: 11, y: 17, C: 0
x: 12, y: 18, C: 0
x: 10, y: 18, C: 1
x: 12, y: 18, C: 0
x: 12, y: 16, C: 0
x: 13, y: 17, C: 0
x: 11, y: 17, C: 0
x: 11, y: 20, C: 0
x: 11, y: 18, C: 0
x: 12, y: 19, C: 0
x: 10, y: 19, C: 1
x: 12, y: 19, C: 0
x: 12, y: 17, C: 0
x: 13, y: 18, C: 0
x: 11, y: 18, C: 0
x: 13, y: 18, C: 0
x: 13, y: 16, C: 1
x: 14, y: 17, C: 0
x: 12, y: 17, C: 0
x: 11, y: 21, C: 0
x: 11, y: 19, C: 0
x: 12, y: 20, C: 1
x: 10, y: 20, C: 1
x: 12, y: 20, C: 1
x: 12, y: 18, C: 0
x: 13, y: 19, C: 0
x: 11, y: 19, C: 0
x: 13, y: 19, C: 0
x: 13, y: 17, C: 0
x: 14, y: 18, C: 0
x: 12, y: 18, C: 0
x: 14, y: 18, C: 0
x: 14, y: 16, C: 0
x: 15, y: 17, C: 0
x: 13, y: 17, C: 0
x: 11, y: 22, C: 1
x: 11, y: 20, C: 0
x: 12, y: 21, C: 0
x: 10, y: 21, C: 0
x: 13, y: 20, C: 1
x: 13, y: 18, C: 0
x: 14, y: 19, C: 0
x: 12, y: 19, C: 0
x: 14, y: 19, C: 0
x: 14, y: 17, C: 0
x: 15, y: 18, C: 0
x: 13, y: 18, C: 0
x: 14, y: 17, C: 0
x: 14, y: 15, C: 0
x: 15, y: 16, C: 0
x: 13, y: 16, C: 1
x: 15, y: 18, C: 0
x: 15, y: 16, C: 0
x: 16, y: 17, C: 0
x: 14, y: 17, C: 0
x: 12, y: 22, C: 1
x: 12, y: 20, C: 1
x: 13, y: 21, C: 1
x: 11, y: 21, C: 0
x: 10, y: 22, C: 0
x: 10, y: 20, C: 1
x: 11, y: 21, C: 0
x: 9, y: 21, C: 0
x: 14, y: 20, C: 0
x: 14, y: 18, C: 0
x: 15, y: 19, C: 0
x: 13, y: 19, C: 0
x: 15, y: 19, C: 0
x: 15, y: 17, C: 0
x: 16, y: 18, C: 1
x: 14, y: 18, C: 0
x: 14, y: 16, C: 0
x: 14, y: 14, C: 1
x: 15, y: 15, C: 1
x: 13, y: 15, C: 0
x: 15, y: 17, C: 0
x: 15, y: 15, C: 1
x: 16, y: 16, C: 0
x: 14, y: 16, C: 0
x: 16, y: 18, C: 1
x: 16, y: 16, C: 0
x: 17, y: 17, C: 0
x: 15, y: 17, C: 0
x: 10, y: 23, C: 0
x: 10, y: 21, C: 0
x: 11, y: 22, C: 1
x: 9, y: 22, C: 0
x: 9, y: 22, C: 0
x: 9, y: 20, C: 1
x: 10, y: 21, C: 0
x: 8, y: 21, C: 1
x: 14, y: 21, C: 1
x: 14, y: 19, C: 0
x: 15, y: 20, C: 1
x: 13, y: 20, C: 1
x: 15, y: 20, C: 1
x: 15, y: 18, C: 0
x: 16, y: 19, C: 1
x: 14, y: 19, C: 0
x: 13, y: 16, C: 1
x: 13, y: 14, C: 1
x: 14, y: 15, C: 0
x: 12, y: 15, C: 1
x: 16, y: 17, C: 0
x: 16, y: 15, C: 0
x: 17, y: 16, C: 0
x: 15, y: 16, C: 0
x: 17, y: 18, C: 1
x: 17, y: 16, C: 0
x: 18, y: 17, C: 1
x: 16, y: 17, C: 0
x: 10, y: 24, C: 0
x: 10, y: 22, C: 0
x: 11, y: 23, C: 0
x: 9, y: 23, C: 1
x: 9, y: 23, C: 1
x: 9, y: 21, C: 0
x: 10, y: 22, C: 0
x: 8, y: 22, C: 1
x: 16, y: 16, C: 0
x: 16, y: 14, C: 0
x: 17, y: 15, C: 1
x: 15, y: 15, C: 1
x: 17, y: 17, C: 0
x: 17, y: 15, C: 1
x: 18, y: 16, C: 1
x: 16, y: 16, C: 0
x: 10, y: 25, C: 0
x: 10, y: 23, C: 0
x: 11, y: 24, C: 0
x: 9, y: 24, C: 1
x: 11, y: 24, C: 0
x: 11, y: 22, C: 1
x: 12, y: 23, C: 1
x: 10, y: 23, C: 0
x: 16, y: 15, C: 0
x: 16, y: 13, C: 0
x: 17, y: 14, C: 1
x: 15, y: 14, C: 0
x: 10, y: 26, C: 1
x: 10, y: 24, C: 0
x: 11, y: 25, C: 0
x: 9, y: 25, C: 0
x: 11, y: 25, C: 0
x: 11, y: 23, C: 0
x: 12, y: 24, C: 1
x: 10, y: 24, C: 0
x: 16, y: 14, C: 0
x: 16, y: 12, C: 1
x: 17, y: 13, C: 0
x: 15, y: 13, C: 1
x: 15, y: 15, C: 1
x: 15, y: 13, C: 1
x: 16, y: 14, C: 0
x: 14, y: 14, C: 1
x: 11, y: 26, C: 0
x: 11, y: 24, C: 0
x: 12, y: 25, C: 1
x: 10, y: 25, C: 0
x: 9, y: 26, C: 0
x: 9, y: 24, C: 1
x: 10, y: 25, C: 0
x: 8, y: 25, C: 1
x: 17, y: 14, C: 1
x: 17, y: 12, C: 1
x: 18, y: 13, C: 1
x: 16, y: 13, C: 0
x: 11, y: 27, C: 1
x: 11, y: 25, C: 0
x: 12, y: 26, C: 1
x: 10, y: 26, C: 1
x: 9, y: 27, C: 0
x: 9, y: 25, C: 0
x: 10, y: 26, C: 1
x: 8, y: 26, C: 1
x: 9, y: 28, C: 0
x: 9, y: 26, C: 0
x: 10, y: 27, C: 1
x: 8, y: 27, C: 1
x: 9, y: 29, C: 0
x: 9, y: 27, C: 0
x: 10, y: 28, C: 1
x: 8, y: 28, C: 1
x: 9, y: 30, C: 1
x: 9, y: 28, C: 0
x: 10, y: 29, C: 0
x: 8, y: 29, C: 0
x: 10, y: 30, C: 0
x: 10, y: 28, C: 1
x: 11, y: 29, C: 1
x: 9, y: 29, C: 0
x: 8, y: 30, C: 1
x: 8, y: 28, C: 1
x: 9, y: 29, C: 0
x: 7, y: 29, C: 1
x: 10, y: 31, C: 1
x: 10, y: 29, C: 0
x: 11, y: 30, C: 1
x: 9, y: 30, C: 1
